市区町村コード,都道府県,名称（空白なし）,名称,人口　平成27年,人口　平成22年（組替）,平成22年〜27年の人口増減数,平成22年〜27年の人口増減率（％）,面積（km2）,人口密度（1km2当たり）,世帯数　平成27年,世帯数　平成22年（組替）,平成22年〜27年の世帯増減数,平成22年〜27年の世帯増減率（％）
28110,兵庫県,神戸市中央区,神戸市 中央区,135218,126393,8825,6.9821904694,28.97,4667.5,80917,73814,7103,9.6228357764
28111,兵庫県,神戸市西区,神戸市 西区,245895,249298,-3403,-1.3650330127,138.01,1781.7,97069,93951,3118,3.3187512640
28201,兵庫県,姫路市,姫路市,535807,536270,-463,-0.0863371063,534.33,1002.8,212563,205587,6976,3.3932106602
28202,兵庫県,尼崎市,尼崎市,452571,453748,-1177,-0.2593950827,50.72,8922.9,210253,209343,910,0.4346933024
28203,兵庫県,明石市,明石市,293509,290959,2550,0.8764121405,49.42,5939.1,121866,116948,4918,4.2052878202
28204,兵庫県,西宮市,西宮市,488147,482640,5507,1.1410160782,99.96,4883.4,210890,202648,8242,4.0671509218
28205,兵庫県,洲本市,洲本市,44271,47254,-2983,-6.3126931053,182.38,242.7,18090,18447,-357,-1.9352740283
28206,兵庫県,芦屋市,芦屋市,95440,93238,2202,2.3616980201,18.47,5167.3,41959,39753,2206,5.5492667220
28207,兵庫県,伊丹市,伊丹市,197040,196127,913,0.4655146920,25.00,7881.6,78904,77263,1641,2.1239144222
28208,兵庫県,相生市,相生市,30142,31158,-1016,-3.2607997946,90.40,333.4,12135,12141,-6,-0.0494193230
28209,兵庫県,豊岡市,豊岡市,82269,85592,-3323,-3.8823721843,697.55,117.9,30152,29741,411,1.3819306681
28210,兵庫県,加古川市,加古川市,267434,266937,497,0.1861862537,138.48,1931.2,103457,99645,3812,3.8255808119
28212,兵庫県,赤穂市,赤穂市,48591,50523,-1932,-3.8240009501,126.86,383.0,18714,18826,-112,-0.5949219165
28213,兵庫県,西脇市,西脇市,40890,42802,-1912,-4.4670809775,132.44,308.7,15045,14989,56,0.3736073120
28214,兵庫県,宝市,宝市,224977,225700,-723,-0.3203367302,101.80,2210.0,94206,91737,2469,2.6913895157
28215,兵庫県,三木市,三木市,77310,81009,-3699,-4.5661593156,176.51,438.0,28584,28506,78,0.2736266049
28216,兵庫県,高砂市,高砂市,91065,93901,-2836,-3.0202021278,34.45,2643.4,36330,35737,593,1.6593446568
28217,兵庫県,川西市,川西市,156481,156423,58,0.0370789462,53.44,2928.2,62653,60584,2069,3.4150930939
28218,兵庫県,小野市,小野市,48605,49680,-1075,-2.1638486312,92.94,523.0,16856,16470,386,2.3436551305
28219,兵庫県,三田市,三田市,112732,114216,-1484,-1.2992925685,210.32,536.0,41044,40068,976,2.4358590396
28220,兵庫県,加西市,加西市,44352,47993,-3641,-7.5865230346,150.98,293.8,15356,15188,168,1.1061364235
28221,兵庫県,篠山市,篠山市,41506,43263,-1757,-4.0612070360,377.59,109.9,15565,15342,223,1.4535262678
